,Neighbourhood,Population,Crime_Rate,Youth (15-24 years),Working Age (25-54 years)
109,Woodbine-Lumsden,7865,699.3006993006993,675,3790
110,Bayview Village,21396,696.3918489437278,2505,10310
111,Bedford Park-Nortown,23236,796.1783439490446,3210,8410
112,Rockcliffe-Smythe,22246,1276.6340016182685,2740,9255
113,Bridle Path-Sunnybrook-York Mills,9266,949.7086121303691,1425,3090
114,Don Valley Village,27051,935.2704151417693,3280,11860
115,Weston,17992,1845.2645620275678,2225,7785
116,Lawrence Park South,15179,573.1602872389486,2095,5870
117,Brookhaven-Amesbury,17757,1098.1584727149857,2460,7625
118,Long Branch,10084,1051.1701705672351,1130,4705
119,Malvern,43794,1043.5219436452483,6620,17865
120,Dufferin Grove,11785,1323.7165888841748,1065,6680
121,Maple Leaf,10111,860.4490159232519,1265,4110
122,Markland Wood,10554,653.7805571347357,1165,3600
123,Steeles,24623,568.5740973886204,2685,9500
124,Lawrence Park North,14607,472.376257958513,1670,5980
125,Yonge-Eglinton,11817,973.1742405009733,1225,5860
126,Morningside,17455,1243.1967917502147,2690,6840
127,Moss Park,20506,3686.725836340583,2060,12530
128,Little Portugal,15559,1201.8767272960986,1605,9385
129,Woodbine Corridor,12541,1212.0245594450203,1035,6165
130,Newtonbrook East,16097,875.93961607753,2185,6860
131,Milliken,26572,903.2063826584374,3195,10565
132,Pleasant View,15818,720.6979390567708,2080,6470
133,Wychwood,14349,1017.492508188724,1320,6420
134,Leaside-Bennington,16828,469.4556691228904,2175,6455
135,Briar Hill-Belgravia,14257,953.9173739215823,1655,6740
