,Neighbourhood,Population,Cluster Labels,Crime_Rate,Youth (15-24 years),Working Age (25-54 years),Total Pizzerias
96,Mount Olive-Silverstone-Jamestown,32954,2,1377.6779753595922,5240,13615,16
97,Mount Pleasant East,16775,0,304.02384500745154,1705,7620,48
98,Mount Pleasant West,29658,2,563.0858453031223,2520,17100,47
99,Blake-Jones,7727,3,1423.579655752556,885,3605,50
100,Rexdale-Kipling,10529,3,1253.680311520562,1355,4300,20
101,East End-Danforth,21381,0,1482.624760301202,2210,9990,40
102,New Toronto,11463,3,1552.822123353398,1390,5215,25
103,Palmerston-Little Italy,13826,3,1186.1709822074354,1465,7845,50
104,Parkwoods-Donalda,34805,2,830.3404683235167,4680,14780,15
105,Pelmo Park-Humberlea,10722,3,1203.1337437045327,1370,4645,11
106,Playter Estates-Danforth,7804,3,1652.9984623270118,735,3725,50
107,Willowridge-Martingrove-Richview,22156,0,1114.8221700667991,2625,8140,7
108,Woburn,53485,1,1043.283163503786,7660,21945,20
109,Woodbine-Lumsden,7865,3,699.3006993006993,675,3790,38
110,Bayview Village,21396,0,696.3918489437278,2505,10310,3
111,Bedford Park-Nortown,23236,0,796.1783439490446,3210,8410,24
112,Rockcliffe-Smythe,22246,0,1276.6340016182685,2740,9255,20
113,Bridle Path-Sunnybrook-York Mills,9266,3,949.7086121303691,1425,3090,6
114,Don Valley Village,27051,2,935.2704151417693,3280,11860,7
115,Weston,17992,0,1845.2645620275678,2225,7785,28
116,Lawrence Park South,15179,3,573.1602872389486,2095,5870,46
117,Brookhaven-Amesbury,17757,0,1098.1584727149857,2460,7625,25
118,Long Branch,10084,3,1051.1701705672351,1130,4705,17
119,Malvern,43794,1,1043.5219436452483,6620,17865,8
120,Dufferin Grove,11785,3,1323.7165888841748,1065,6680,50
121,Maple Leaf,10111,3,860.4490159232519,1265,4110,12
122,Markland Wood,10554,3,653.7805571347357,1165,3600,11
123,Steeles,24623,0,568.5740973886204,2685,9500,10
124,Lawrence Park North,14607,3,472.376257958513,1670,5980,19
125,Yonge-Eglinton,11817,3,973.1742405009733,1225,5860,41
126,Morningside,17455,0,1243.1967917502147,2690,6840,7
127,Moss Park,20506,0,3686.725836340583,2060,12530,50
128,Little Portugal,15559,0,1201.8767272960986,1605,9385,50
129,Woodbine Corridor,12541,3,1212.0245594450203,1035,6165,50
130,Newtonbrook East,16097,0,875.93961607753,2185,6860,18
131,Milliken,26572,2,903.2063826584374,3195,10565,11
132,Pleasant View,15818,0,720.6979390567708,2080,6470,22
133,Wychwood,14349,3,1017.492508188724,1320,6420,50
134,Leaside-Bennington,16828,0,469.4556691228904,2175,6455,24
135,Briar Hill-Belgravia,14257,3,953.9173739215823,1655,6740,33
